CrabID,Site,Temp,Volume,Minutes,Final oxygen concentration,Metabolic rate,Sex,NumberLimbMissing,NumberLimbRegen,TotalWetMass,PerCrabDryMass
SMR130,CT,21.45,70,90,0.2004,0.377812599,Female,1,0,3.49709,1.12295
SMR132,CT,21.2,50,94,0.2001,0.275991408,Female,0,0,1.87447,0.37717
SMR149,CT,21.56666667,50,83,0.1998,0.308830576,Female,0,0,2.19024,0.95187
SMR168,CT,21.65,50,85,0.1995,0.160467487,Female,0,0,1.43153,0.253265
SMR148,CT,21.56666667,55,82,0.1993,0.364898508,Female,1,0,2.79848,0.91876
SMR97,CT,21.2,80,87,0.1983,0.56261197,Female,0,0,4.57242,0.86528
SMR271,CT,21.2,60,89,0.198,0.416256003,Female,3,0,3.42782,0.93541
SMR269,CT,21.56666667,50,86,0.1979,0.181493812,Female,0.5,0,2.11857,0.362915
SMR270,CT,21.56666667,45,87,0.1976,0.16511794,Female,0.5,0.5,1.85736,0.34703
SMR150,CT,21.56666667,55,84,0.1971,0.215229805,Female,0.5,0,2.7592,0.51392
SMR268,CT,21.56666667,50,85,0.1968,0.200846063,Female,0,0,2.3335,0.373485
SMR191,CT,21.63333333,55,77,0.2039,0.218328189,Male,1,0,1.48311,0.45596
SMR170,CT,21.3,40,86,0.203,0.08228609,Male,0.5,0,0.91319,0.19271
SMR172,CT,21.65,50,83,0.203,0.209901945,Male,1,1,1.60212,0.68078
SMR192,CT,21.63333333,55,78,0.20289,0.252832005,Male,1,0,2.13303,0.58987
SMR154,CT,21.45,50,89,0.2027,0.206938448,Male,0,0,1.49417,0.5558
SMR176,CT,21.1,65,68,0.2023,0.377863074,Male,0,0,2.64021,0.54002
SMR72,CT,21.1,60,65,0.2019,0.371814225,Male,0,0,2.96976,1.08701
SMR163,CT,21.45,50,86,0.2013,0.258425935,Male,1,0,1.90778,0.57834
SMR171,CT,21.65,50,84,0.2011,0.276493739,Male,3,0,1.38332,0.29601
SMR151,CT,21.56666667,45,85,0.2009,0.12439273,Male,1.5,0,1.25884,0.21752
SMR272,CT,21.2,55,88,0.2004,0.303139026,Male,1,1,2.47834,0.93725
SMR193,CT,21.63333333,45,88,0.2004,0.084702257,Male,0.67,0.3,1.18478,0.14918
SMR249,CT,21.56666667,50,81,0.2002,0.154114608,Male,0,0,1.76956,0.367225
SMR181,CT,21.2,50,92,0.1998,0.276961861,Male,2,2,2.6491,1.0522
SMR258,CT,21.2,80,86,0.1985,0.541361995,Male,0,0,5.62928,1.55671
SMR183,CT,21.2,65,90,0.1982,0.450752934,Male,1,0,3.0878,0.5067
SMR206,CT,21.56666667,45,80,0.2037,0.088925916,Multiple,1,0,1.13687,0.19945
SMR113,CT,21.3,45,84,0.2031,0.093493193,Multiple,1.5,0,1.03275,0.20369
SMR195,CT,21.63333333,70,81,0.2017,0.180258071,Multiple,2,1,2.94316,0.53121
SMR128,CT,21.3,50,91,0.2015,0.119976692,Multiple,2,2,1.24362,0.23998
SMR194,CT,21.63333333,80,79,0.2012,0.230234556,Multiple,4.5,0,2.72336,0.351285
SMR137,CT,21.3,45,87,0.1998,0.135893794,Multiple,4,4,1.49129,0.27572
SMR197,CT,21.63333333,50,82,0.1998,0.158668905,Multiple,2,2,1.87332,0.37318
SMR147,CT,21.56666667,50,82,0.1995,0.165453211,Multiple,2,1.5,1.75061,0.29879
SMR186,NH,15.3,60,91,0.2039,0.205666119,Female,0,0,1.5611,0.62078
SMR287,NH,22.95555556,50,101,0.2038,0.153871783,Female,0,0,1.13751,0.444
SMR203,NH,15.8,60,92,0.2037,0.20377871,Female,0,0,2.72472,1.14559
SMR98,NH,15.8,50,94,0.2035,0.177489769,Female,0,0,1.74933,0.53102
SMR86,NH,16.24285714,40,87,0.2034,0.154772247,Female,0,0,1.38472,0.54292
SMR284,NH,19.45,60,90,0.2034,0.227455688,Female,0,0,1.28695,0.33157
SMR100,NH,16.24285714,50,81,0.2032,0.216333583,Female,0,0,1.67679,0.57603
SMR136,NH,15.3,50,86,0.2031,0.104934285,Female,0,0,1.13899,0.1869
SMR200,NH,15.3,80,85,0.203,0.333291367,Female,0,0,3.55709,1.36224
SMR28,NH,16.24285714,50,84,0.203,0.209517763,Female,3,0,2.4739,0.94647
SMR114,NH,17.2125,60,61,0.2028,0.341927329,Female,1,0,4.66288,1.77229
SMR82,NH,16.24285714,40,86,0.2027,0.174632015,Female,0,0,1.55828,0.55462
SMR119,NH,15.8,110,85,0.2019,0.522443212,Female,1,0,8.36772,2.62255
SMR232,NH,16.24285714,50,85,0.2019,0.244446757,Female,1,0,2.25019,0.84475
SMR124,NH,15.3,80,89,0.2017,0.39525873,Female,3,0,3.47399,0.66726
SMR52,NH,16.24285714,30,88,0.2016,0.14838634,Female,0,0,1.0605,0.44885
SMR251,NH,19.45,80,81,0.2016,0.409965898,Female,1,0,4.50345,1.87539
SMR185,NH,15.3,80,90,0.2015,0.386081257,Female,0,0,3.94637,1.49403
SMR66,NH,15.8,110,86,0.2015,0.553460253,Female,0,0,8.66255,2.11428
SMR56,NH,19.38333333,80,89,0.2013,0.394163554,Female,0,0,4.38023,1.59414
SMR295,NH,22.95555556,40,102,0.2005,0.095398532,Female,0,0,1.59494,0.25841
SMR123,NH,15.8,80,89,0.2001,0.452554326,Female,0,0,5.49879,1.78115
SMR125,NH,19.45,100,78,0.1997,0.628176569,Female,0,0,9.55916,3.67078
SMR37,NH,15.8,80,90,0.1995,0.456280261,Female,0,0,7.1938,2.67028
